,location,BHK,total_sqft,bath,price
128,Sarjapur,2,1242.5,2.0,43.49
129,others,3,1425.0,2.0,75.0
130,Electronic City,3,1500.0,2.0,64.5
131,Electronic City,2,1060.0,2.0,60.0
132,others,3,1470.0,2.0,70.0
133,Electronic City,2,1152.0,2.0,64.5
134,Electronic City,3,1350.0,2.0,56.0
135,CV Raman Nagar,3,1550.0,3.0,65.0
136,others,3,1500.0,3.0,100.0
137,Nagavara,1,400.0,1.0,14.0
138,Electronic City,2,770.0,1.0,36.0
139,Hulimavu,2,1242.0,2.0,51.0
140,Thanisandra,3,2144.0,3.0,145.0
141,Vijayanagar,3,1704.0,3.0,110.0
142,Electronic City,2,1070.0,2.0,52.0
143,others,2,1340.0,2.0,55.7
144,Electronic City,2,1025.0,2.0,46.0
145,KR Puram,2,1277.5,2.0,56.8
146,Marathahalli,2,1200.0,2.0,52.0
147,Kanakpura Road,4,2250.0,4.0,110.0
148,others,3,1550.0,2.0,80.0
149,Marathahalli,2,1200.0,2.0,60.0
150,Yelahanka,2,1327.0,2.0,98.0
151,Kothanur,2,1186.0,2.0,58.0
152,others,3,1783.0,3.0,115.0
153,HSR Layout,3,1400.0,3.0,56.0
154,Nagasandra,2,980.0,2.0,48.0
155,EPIP Zone,2,1285.0,2.0,82.0
156,others,3,912.0,2.0,70.0
157,Whitefield,2,1225.0,2.0,47.6
158,Whitefield,2,1075.0,2.0,53.0
159,Kadugodi,3,1260.0,2.0,54.0
160,Yelahanka,3,1282.0,2.0,48.7
161,Kogilu,3,1909.0,3.0,88.0
162,Panathur,2,1359.0,2.0,87.0
163,others,2,1207.0,2.0,43.5
164,Kammasandra,3,1595.0,3.0,65.0
165,others,3,1798.0,3.0,89.0
166,Electronics City Phase 1,3,1475.0,3.0,78.29
167,others,3,1580.0,3.0,100.0
168,Dasarahalli,2,1295.0,2.0,65.0
169,Magadi Road,6,3600.0,6.0,141.0
170,Electronic City,1,589.0,1.0,27.0
171,others,3,1415.0,3.0,78.0
172,Sarjapur  Road,3,1787.0,3.0,98.29
173,Sarjapur  Road,3,1787.0,3.0,125.0
174,Koramangala,3,1475.0,2.0,90.0
175,others,4,2000.0,4.0,75.5
176,Sarjapur  Road,2,984.0,2.0,44.28
177,Devanahalli,3,1630.0,2.0,74.82
178,7th Phase JP Nagar,2,1080.0,2.0,72.0
179,others,2,1500.0,2.0,115.0
180,Hebbal,3,1900.0,3.0,119.0
181,Budigere,2,1153.0,2.0,56.4
182,others,2,1148.0,2.0,60.0
183,others,2,1110.0,2.0,55.0
184,Electronic City,2,1100.0,2.0,42.0
185,others,3,1500.0,2.0,65.0
186,others,2,1080.0,2.0,39.0
187,Vijayanagar,3,1933.0,3.0,129.0
188,Ramamurthy Nagar,5,3500.0,5.0,150.0
189,others,2,1060.0,2.0,60.0
190,others,3,1644.0,3.0,84.0
191,others,2,1285.0,2.0,72.5
192,Electronic City,3,1200.0,3.0,90.0
193,Electronic City,2,910.0,2.0,40.0
194,Kothanur,3,1577.0,3.0,70.0
195,others,3,4050.0,3.0,280.0
196,OMBR Layout,3,2420.0,3.0,185.0
197,others,2,1060.0,2.0,55.0
198,7th Phase JP Nagar,2,1270.0,2.0,93.0
199,others,2,1280.0,2.0,69.0
200,Horamavu Agara,4,1200.0,2.0,95.0
201,Sarjapur  Road,2,1025.0,2.0,36.0
202,Electronic City,2,1108.0,2.0,63.0
203,others,3,3045.0,3.0,170.0
204,Vijayanagar,3,1500.0,3.0,75.5
205,Raja Rajeshwari Nagar,2,1295.0,2.0,43.9
206,Budigere,2,1162.0,2.0,59.9
207,Sarjapur  Road,2,1035.0,2.0,49.2
208,Attibele,4,1600.0,4.0,52.8
209,others,3,1464.0,3.0,46.0
210,Hennur Road,3,1866.0,2.0,61.58
211,others,2,700.0,1.0,26.0
212,Kalena Agrahara,3,1804.0,3.0,120.0
213,Sarjapur,2,913.0,2.0,32.0
214,Talaghattapura,3,1868.0,3.0,131.0
215,Kengeri Satellite Town,2,883.0,2.0,45.0
216,Kogilu,3,1664.0,2.0,73.95
217,Hegde Nagar,3,2026.0,3.0,132.0
218,Balagere,2,1210.0,2.0,80.9
219,others,4,4111.0,4.0,250.0
220,Kadugodi,3,1762.0,3.0,91.45
221,Jigani,3,1252.0,3.0,55.0
222,Gollarapalya Hosahalli,2,861.0,2.0,34.5
223,7th Phase JP Nagar,3,1420.0,2.0,100.0
224,Electronics City Phase 1,3,1490.0,3.0,78.8
225,Bisuvanahalli,3,1075.0,2.0,46.0
226,Old Madras Road,3,1425.0,2.0,94.0
227,Kalena Agrahara,2,1200.0,2.0,40.0
228,Kaggadasapura,3,1280.0,2.0,56.0
229,others,2,1084.0,2.0,50.0
230,Kanakpura Road,2,1017.0,2.0,51.25
231,Haralur Road,2,1027.0,2.0,44.0
232,Electronic City Phase II,2,1069.0,2.0,45.0
233,Hebbal,2,1349.0,2.0,98.2
234,9th Phase JP Nagar,2,1005.0,2.0,50.0
235,Jakkur,2,1417.0,2.0,75.0
236,TC Palaya,3,1475.0,3.0,98.0
237,others,2,950.0,2.0,47.0
238,others,4,2000.0,4.0,120.0
239,Sarjapur  Road,4,1863.0,3.0,104.0
240,Singasandra,2,1010.0,2.0,29.5
241,Kalena Agrahara,3,1425.0,2.0,70.0
242,Vijayanagar,3,1450.0,3.0,100.0
243,Kothanur,3,1847.0,3.0,105.0
244,AECS Layout,2,1100.0,2.0,45.0
245,Kanakpura Road,1,525.0,1.0,26.0
246,Mallasandra,3,1665.0,3.0,95.0
247,Begur,4,1664.0,4.0,65.0
248,JP Nagar,3,1850.0,3.0,150.0
249,Panathur,2,1438.0,2.0,100.0
250,others,3,1560.0,3.0,115.0
251,Yelahanka,2,1350.0,2.0,55.55
252,Kanakpura Road,3,1550.0,3.0,67.0
253,Malleshpalya,2,1140.0,2.0,46.5
254,others,2,850.0,2.0,27.0
255,Whitefield,2,1280.0,2.0,75.0
256,Munnekollal,2,1170.0,2.0,52.0
257,others,2,1113.0,2.0,51.0
258,Hennur Road,2,1385.0,2.0,83.09
259,Electronic City,2,1128.0,2.0,65.0
260,Haralur Road,3,1464.0,3.0,56.0
261,others,2,1200.0,2.0,55.0
262,Kaval Byrasandra,2,1200.0,2.0,52.0
263,Kaggalipura,3,1150.0,2.0,55.0
264,others,3,1645.0,3.0,95.0
265,Sarjapur  Road,2,1000.0,2.0,67.0
266,Haralur Road,4,2650.0,4.0,198.0
267,6th Phase JP Nagar,2,1192.0,2.0,74.0
268,Whitefield,2,1173.0,2.0,58.0
269,Uttarahalli,2,1020.0,2.0,45.0
270,Somasundara Palya,3,1600.0,3.0,64.0
271,others,2,1200.0,2.0,79.0
272,others,2,1230.0,2.0,48.0
273,Devarachikkanahalli,2,1250.0,2.0,40.0
274,Kalena Agrahara,2,1325.0,2.0,76.0
275,7th Phase JP Nagar,3,1850.0,3.0,150.0
276,Kanakpura Road,1,525.0,2.0,21.53
277,Basaveshwara Nagar,2,1200.0,2.0,65.0
278,Bommasandra,3,1260.0,3.0,49.36
279,Ardendale,2,1100.0,2.0,43.25
280,Harlur,2,1508.0,2.0,77.0
281,others,3,1592.0,3.0,75.0
282,Akshaya Nagar,2,1388.0,2.0,57.0
283,Electronic City Phase II,1,630.0,1.0,28.35
284,others,3,1762.0,3.0,125.0
285,others,2,950.0,2.0,50.0
286,Magadi Road,2,1116.0,2.0,50.0
287,others,2,1308.0,2.0,89.04
288,others,3,1200.0,3.0,90.0
289,Bannerghatta Road,1,500.0,1.0,18.5
290,Hennur,2,1075.0,2.0,52.0
291,Bellandur,2,1205.0,2.0,66.0
292,5th Phase JP Nagar,2,1075.0,2.0,60.0
293,KR Puram,2,930.0,2.0,39.0
294,Balagere,2,1380.0,2.0,60.0
295,Kodigehaali,2,1166.0,2.0,55.0
296,Bannerghatta Road,2,1050.0,2.0,65.0
297,Begur Road,2,1200.0,2.0,46.8
298,Lakshminarayana Pura,3,1600.0,2.0,108.0
299,Billekahalli,3,1935.0,3.0,110.0
300,8th Phase JP Nagar,1,451.0,1.0,29.9
301,Electronic City,3,1800.0,3.0,95.0
302,Jalahalli,3,1400.0,3.0,77.0
303,Hegde Nagar,3,1801.0,3.0,115.0
304,Mahadevpura,2,1451.0,2.0,90.0
305,Anekal,2,1200.0,1.0,36.0
306,Begur Road,2,1160.0,2.0,44.0
307,Kanakpura Road,2,950.0,2.0,40.0
308,others,3,1629.0,3.0,79.0
309,Vijayanagar,3,1826.0,3.0,121.0
310,7th Phase JP Nagar,2,1245.0,2.0,94.0
311,Raja Rajeshwari Nagar,2,1145.0,2.0,45.79
312,Sompura,2,825.0,2.0,33.0
313,Yeshwanthpur,3,1693.0,3.0,108.0
314,Electronics City Phase 1,2,1113.27,2.0,53.0
315,others,2,1460.0,2.0,58.0
316,Doddathoguru,2,1050.0,2.0,32.0
317,Dodda Nekkundi,2,1260.0,2.0,55.0
318,Hosur Road,2,1656.0,2.0,120.0
319,Chandapura,3,1208.0,3.0,45.0
320,Whitefield,4,3252.0,4.0,230.0
321,Battarahalli,2,1200.0,2.0,65.0
322,7th Phase JP Nagar,2,1175.0,2.0,82.0
323,others,2,1185.0,2.0,38.0
324,Kengeri,2,750.0,2.0,38.0
325,Kanakpura Road,3,1550.0,3.0,64.5
326,others,3,1760.0,3.0,88.0
327,Billekahalli,2,1125.0,2.0,62.0
328,Anandapura,2,1000.0,2.0,55.0
329,TC Palaya,2,1200.0,2.0,60.0
330,Budigere,3,1991.0,4.0,103.0
331,Ambalipura,2,1105.0,2.0,75.0
332,Hoodi,2,985.0,2.0,67.0
333,Balagere,3,1590.0,3.0,79.0
334,CV Raman Nagar,2,1120.0,2.0,55.0
335,others,2,1069.0,2.0,55.0
336,Marathahalli,3,1933.0,3.0,140.0
337,Hosur Road,2,1194.0,2.0,69.0
338,Brookefield,2,1150.0,2.0,69.0
339,Yelenahalli,2,1240.0,2.0,47.12
340,Raja Rajeshwari Nagar,2,1419.0,2.0,48.1
341,others,3,1450.0,3.0,55.0
342,others,3,1630.0,3.0,68.29
343,Dasanapura,2,708.0,1.0,40.0
344,Whitefield,4,11890.0,4.0,700.0
345,Bellandur,2,1250.0,2.0,76.0
346,7th Phase JP Nagar,3,1400.0,2.0,95.0
347,Sarjapur  Road,3,1670.0,2.0,57.0
348,Ardendale,3,1750.0,3.0,100.0
349,Vittasandra,2,1404.0,2.0,71.0
350,Hoodi,3,1715.0,2.0,95.0
351,Electronic City,1,630.0,1.0,34.65
352,Harlur,3,1752.12,3.0,135.0
353,Hulimavu,3,1650.0,3.0,78.0
354,Raja Rajeshwari Nagar,2,1295.0,2.0,55.47
355,Sarjapur  Road,2,1346.0,2.0,74.03
356,Hormavu,2,1150.0,2.0,55.0
357,AECS Layout,3,1620.0,3.0,98.0
358,Marathahalli,2,950.0,2.0,46.96
359,Harlur,3,2450.0,3.0,120.0
360,others,2,850.0,2.0,30.0
361,Padmanabhanagar,2,1020.0,2.0,63.0
362,Chikkalasandra,2,1100.0,2.0,50.0
363,Hebbal,3,1760.0,2.0,130.0
364,Ambalipura,3,1800.0,3.0,110.0
365,Akshaya Nagar,2,1070.0,2.0,54.0
366,Vidyaranyapura,2,1440.0,2.0,95.0
367,Amruthahalli,2,900.0,2.0,40.0
368,Whitefield,2,1130.0,2.0,42.16
369,Kodigehalli,2,1270.0,2.0,98.0
370,others,2,1200.0,2.0,62.0
371,others,4,4800.0,4.0,235.0
372,others,2,1200.0,2.0,74.0
373,Subramanyapura,2,929.0,2.0,50.17
374,others,3,1464.0,3.0,56.0
375,others,4,2000.0,4.0,99.0
376,Chikkalasandra,2,1208.0,2.0,49.0
377,Hebbal Kempapura,2,1130.0,2.0,60.0
378,others,3,1753.0,3.0,120.0
379,Hoodi,2,1196.0,2.0,94.42
380,5th Phase JP Nagar,2,1150.0,3.0,52.5
381,Electronic City,2,1128.0,2.0,63.0
382,others,2,1000.0,2.0,53.0
383,Yelahanka,2,1035.0,2.0,45.0
384,Kereguddadahalli,2,950.0,2.0,32.0
385,Bisuvanahalli,3,1075.0,2.0,36.0
386,Whitefield,2,1040.0,2.0,48.5
387,others,2,720.0,2.0,45.0
388,Lingadheeranahalli,3,1511.0,3.0,95.0
389,others,3,1300.0,3.0,58.0
390,Hoodi,3,1545.0,3.0,68.75
391,Shampura,1,375.0,2.0,26.0
392,Vidyaranyapura,2,1062.0,2.0,38.0
393,others,2,1115.0,2.0,40.0
394,JP Nagar,2,1000.0,2.0,35.0
395,Kambipura,2,883.0,2.0,45.0
396,Sarjapur  Road,2,1195.0,2.0,70.0
397,others,1,700.0,1.0,41.0
398,Vittasandra,2,1246.0,2.0,67.0
399,others,4,1600.0,4.0,80.0
400,Haralur Road,4,2805.0,5.0,154.0
401,Begur Road,3,1584.0,3.0,65.0
402,Hosur Road,3,1175.0,2.0,48.0
403,others,3,1595.0,3.0,115.0
404,others,2,1353.0,2.0,110.0
405,Electronic City,3,1599.0,3.0,125.0
406,Whitefield,2,1150.0,2.0,70.0
407,KR Puram,2,1155.0,2.0,42.74
408,others,1,1200.0,2.0,85.0
409,Thanisandra,4,3000.0,4.0,120.0
410,Ramagondanahalli,2,1251.0,2.0,47.0
411,others,2,1028.0,2.0,45.5
412,Arekere,2,1222.0,2.0,45.0
413,Bannerghatta Road,3,1170.0,2.0,66.0
414,others,3,1385.0,2.0,48.48
415,HSR Layout,2,1372.0,2.0,68.0
416,Magadi Road,3,1282.0,2.0,49.0
417,Kanakpura Road,2,1135.0,2.0,39.73
418,Whitefield,3,1768.0,3.0,101.0
419,others,3,1325.0,2.0,90.0
420,Electronic City,3,1599.0,3.0,99.0
421,Whitefield,3,1500.0,3.0,61.95
422,Uttarahalli,2,1286.0,2.0,63.0
423,Kammanahalli,5,2845.0,5.0,140.0
424,others,3,1600.0,2.0,50.0
425,Hennur Road,2,1317.5,2.0,63.77
426,Munnekollal,2,1102.0,2.0,53.67
427,Yelahanka,2,1350.0,2.0,54.0
428,Banashankari,3,1200.0,2.0,42.0
429,others,2,1800.0,1.0,80.0
430,Chikkabanavar,2,950.0,2.0,40.0
431,Kanakpura Road,1,525.0,1.0,27.25
432,Attibele,2,656.0,2.0,25.0
433,others,2,1056.0,2.0,80.0
434,Bannerghatta Road,1,595.0,1.0,33.32
435,others,2,1080.0,2.0,50.0
436,7th Phase JP Nagar,3,2225.0,3.0,160.0
437,Electronics City Phase 1,3,1490.0,3.0,84.0
438,Sarjapur  Road,3,1550.0,3.0,100.0
439,Sarjapur  Road,3,1600.0,3.0,86.0
440,others,2,1160.0,2.0,55.0
441,Whitefield,4,4144.0,4.0,315.0
442,Sarjapur  Road,3,2100.0,3.0,125.0
443,Vittasandra,2,1404.0,2.0,69.3
444,others,3,1544.0,3.0,120.0
445,Banashankari Stage III,3,1305.0,2.0,58.7
446,Marathahalli,2,1230.0,2.0,80.0
447,others,2,1200.0,2.0,65.0
448,Harlur,3,1460.0,3.0,73.0
449,Gottigere,2,967.0,2.0,45.0
450,others,1,540.0,1.0,36.0
451,Hormavu,1,715.0,1.0,46.0
452,Mysore Road,2,1020.0,2.0,48.95
453,Jigani,2,1020.0,2.0,40.0
454,Koramangala,2,1253.0,2.0,102.0
455,others,2,1180.0,2.0,42.0
456,Nehru Nagar,2,961.0,2.0,38.0
457,Kanakapura,3,1419.0,3.0,75.0
458,others,2,1600.0,2.0,115.0
459,others,1,416.0,1.0,18.5
460,HSR Layout,3,1430.0,2.0,65.0
461,others,2,1260.0,2.0,45.0
462,others,3,1630.0,3.0,85.0
463,Sarjapur  Road,3,1249.0,3.0,44.71
464,Kalena Agrahara,3,1450.0,2.0,85.0
465,Konanakunte,3,2791.0,3.0,223.0
466,others,1,834.0,1.0,60.0
467,others,3,1125.0,4.0,70.0
468,Arekere,3,2060.0,3.0,140.0
469,Raja Rajeshwari Nagar,2,1133.0,2.0,49.07
470,Bisuvanahalli,3,1075.0,2.0,37.0
471,Vidyaranyapura,2,1200.0,2.0,55.0
472,Thanisandra,2,1075.0,2.0,45.8
473,Kaggadasapura,2,1140.0,2.0,40.0
474,Raja Rajeshwari Nagar,2,1090.0,2.0,42.0
475,R.T. Nagar,4,1500.0,4.0,70.0
476,Whitefield,3,1790.0,3.0,100.0
477,Hebbal,3,1920.0,3.0,134.0
478,HRBR Layout,2,1374.0,2.0,95.0
479,Bannerghatta Road,3,1445.0,3.0,95.0
480,Kanakapura,1,711.0,1.0,36.0
481,Tumkur Road,3,1500.0,3.0,95.0
482,Whitefield,3,1720.0,3.0,100.0
483,others,3,1400.0,3.0,60.0
484,Kundalahalli,2,1030.0,2.0,49.0
485,Mysore Road,2,1200.0,2.0,85.0
486,others,3,1375.0,3.0,70.0
487,Hegde Nagar,2,1050.0,1.0,56.0
488,Jalahalli,3,2250.0,3.0,160.0
489,Bellandur,2,1000.0,2.0,50.0
490,others,1,469.0,1.0,25.0
491,Marathahalli,4,3800.0,4.0,250.0
492,Kambipura,2,883.0,2.0,29.0
493,GM Palaya,3,1820.0,2.0,86.0
494,Singasandra,3,1440.0,2.0,65.0
495,others,6,3600.0,4.0,160.0
496,Mahadevpura,2,1225.0,2.0,48.0
497,Chikkalasandra,2,875.0,2.0,52.8
498,Jalahalli East,1,750.0,1.0,40.0
499,6th Phase JP Nagar,2,1180.0,2.0,80.0
500,Haralur Road,2,1194.0,2.0,47.0
501,Hennur Road,3,1500.0,2.0,62.0
502,others,2,1160.0,2.0,52.2
503,Sarjapur,2,1128.0,2.0,60.0
504,Sarjapur  Road,2,1210.0,2.0,58.0
505,Kanakpura Road,3,1100.0,2.0,58.0
506,Bommasandra,3,1200.0,3.0,46.0
507,Haralur Road,4,3385.0,5.0,260.0
508,others,3,1641.0,3.0,66.0
509,Horamavu Agara,2,1200.0,2.0,45.0
510,Raja Rajeshwari Nagar,2,1260.0,2.0,67.39
511,Mahadevpura,3,1720.0,3.0,78.0
512,Yelahanka,2,1132.5,2.0,48.13
513,Yelahanka,2,1210.0,2.0,45.98
514,Bisuvanahalli,3,1075.0,2.0,45.0
515,Thanisandra,3,1702.0,3.0,130.0
516,Raja Rajeshwari Nagar,2,1141.0,2.0,38.55
517,others,3,2072.0,3.0,108.0
518,JP Nagar,5,5520.0,2.0,375.0
519,others,3,1200.0,2.0,70.0
520,others,3,1350.0,3.0,77.0
521,others,3,1180.0,2.0,78.34
522,Bannerghatta Road,3,1640.0,2.0,120.0
523,Kodichikkanahalli,3,1190.0,2.0,57.0
524,Marathahalli,2,1019.0,2.0,49.85
525,Akshaya Nagar,3,1250.0,3.0,40.0
526,Whitefield,2,1140.0,2.0,56.0
527,Lingadheeranahalli,3,1683.0,3.0,109.0
528,Kaggadasapura,3,1515.0,3.0,83.3
529,Hoodi,4,2118.0,4.0,111.0
530,Bannerghatta Road,4,1380.0,3.0,58.0
531,Varthur Road,2,1083.0,2.0,61.75
532,others,3,2300.0,3.0,120.0
533,others,2,1240.0,2.0,60.0
534,others,3,1750.0,3.0,120.0
535,others,2,1230.0,2.0,43.48
536,Abbigere,2,985.0,2.0,40.39
537,Tindlu,3,1500.0,2.0,87.0
538,others,2,950.0,2.0,44.0
539,Kothanur,3,1580.0,3.0,76.0
540,Hennur Road,3,2264.0,3.0,159.0
541,Kammasandra,2,810.0,2.0,24.5
542,others,2,1045.0,2.0,45.0
543,Hebbal,2,1337.0,2.0,82.0
544,Begur Road,3,1500.0,2.0,54.0
545,Whitefield,3,1640.0,4.0,91.0
546,others,3,1570.0,3.0,62.0
547,Gubbalala,3,1470.0,2.0,82.0
548,Kengeri,2,1160.0,2.0,40.61
549,7th Phase JP Nagar,2,1050.0,2.0,71.0
550,Bannerghatta Road,3,1460.0,2.0,90.0
551,Hulimavu,3,1823.0,3.0,100.0
552,Electronic City,2,1094.0,2.0,42.0
553,Budigere,2,1153.0,2.0,57.0
554,others,3,1325.0,3.0,57.0
555,others,4,1200.0,3.0,85.0
556,Jakkur,3,1590.0,2.0,125.0
557,others,2,1202.0,2.0,48.0
558,Haralur Road,2,1202.0,2.0,53.0
559,others,2,1200.0,2.0,62.5
560,Panathur,3,1688.0,3.0,118.0
561,Kaval Byrasandra,2,1020.0,2.0,52.0
562,Sarjapur,2,1185.0,2.0,47.0
563,Ramagondanahalli,2,1235.0,2.0,52.04
564,Banashankari,2,1077.0,2.0,37.64
565,Kengeri Satellite Town,3,1415.0,2.0,66.0
566,EPIP Zone,3,2330.0,3.0,162.0
567,Whitefield,2,805.0,2.0,35.0
568,others,1,425.0,1.0,20.03
569,Whitefield,2,1155.0,2.0,59.95
570,Anekal,2,656.0,2.0,22.0
571,others,2,1100.0,2.0,48.0
572,Mahadevpura,2,1150.0,2.0,52.0
573,Whitefield,3,2280.0,4.0,126.0
574,Hegde Nagar,2,1341.0,2.0,97.0
575,Jakkur,2,1279.0,2.0,77.0
576,Electronic City Phase II,4,2225.0,4.0,98.88
577,Thanisandra,2,1185.0,2.0,43.51
578,others,3,1750.0,3.0,85.0
579,Kudlu,2,1152.0,2.0,53.5
580,Varthur Road,4,2760.0,4.0,155.0
581,5th Phase JP Nagar,2,1070.0,2.0,39.0
582,Uttarahalli,2,1101.0,2.0,45.0
583,others,2,775.0,2.0,55.0
584,Yeshwanthpur,1,667.0,1.0,36.85
585,Electronic City,2,1070.0,2.0,55.0
586,Old Airport Road,3,1875.0,2.0,110.0
587,Kundalahalli,2,735.0,2.0,57.99
588,Koramangala,3,1750.0,3.0,130.0
589,Marathahalli,2,1215.0,2.0,67.0
590,Vishwapriya Layout,2,820.0,2.0,30.0
591,Banashankari Stage VI,2,1177.5,2.0,59.935
592,Battarahalli,3,1779.0,3.0,89.61
593,others,2,1105.0,2.0,58.0
